SH_SITE_ID,group,order
07-JACB-1.9,,
07-KEUK-0.1,,
07-KEUK-0.3,,
07-KEUK-1.5,,
07-KEUK-3.4,,
07-KEUK-6.7,,
07-KEUK-7.3,,
07-KEUK_T3-1.0,,
07-KEUK_T6-1.0,,
