order,group,SH_SITE_ID
5,downstream,13-BRCH-2.3
3,upstream,13-BRCH-2.7
4,downstream,13-BRCH_T3-0.2
2,upstream,13-BRCH_T4-0.9
1,upstream,13-BRCH_T4-1.4
