"","fraction","units","seg_id","interpreted_qualifiers","site_id","quantitation_limit","data_provider","sample_id","date","value","validator_qualifiers","depth","info_type","parameter"
"40","total","mg/l","0201-0065","","02-DODG-0.3",0.1,"AE","02-DODG-0.3_20210701",2021-07-01,0.47,"A",NA,NA,"nitrogen, total"
"41","total","ph units","0201-0065","N/A","02-DODG-0.1",NA,NA,"02-DODG-0.1_20210701",2021-07-01,7.52,"N/A",NA,NA,"ph"
"42","total","ph units","0201-0065","N/A","02-DODG-0.1",NA,NA,"02-DODG-0.1_20210701",2021-07-01,7.52,"N/A",NA,NA,"ph"
"43","total","ph units","0201-0065","N/A","02-DODG-0.1",NA,NA,"02-DODG-0.1_20210701",2021-07-01,7.52,"N/A",NA,NA,"ph"
"44","total","ph units","0201-0065","N/A","02-DODG-0.3",NA,NA,"02-DODG-0.3_20210701",2021-07-01,7.93,"N/A",NA,NA,"ph"
"45","total","ph units","0201-0065","N/A","02-DODG-0.3",NA,NA,"02-DODG-0.3_20210701",2021-07-01,7.93,"N/A",NA,NA,"ph"
"46","total","ph units","0201-0065","N/A","02-DODG-0.3",NA,NA,"02-DODG-0.3_20210701",2021-07-01,7.93,"N/A",NA,NA,"ph"
"47","total","mg/l","0201-0065","","02-DODG-0.1",0.025,"AE","02-DODG-0.1_20210701",2021-07-01,0.119,"A",NA,NA,"phosphorus"
"48","total","mg/l","0201-0065","","02-DODG-0.3",0.005,"AE","02-DODG-0.3_20210701",2021-07-01,0.0566,"A",NA,NA,"phosphorus"
"49","","ppt","0201-0065","N/A","02-DODG-0.3",NA,NA,"02-DODG-0.3_20210701",2021-07-01,0.06,"N/A",NA,NA,"salinity"
"50","","ppt","0201-0065","N/A","02-DODG-0.1",NA,NA,"02-DODG-0.1_20210701",2021-07-01,0.05,"N/A",NA,NA,"salinity"
"51","total","ug/l","0201-0065","Analyte was analyzed for but not detected","02-DODG-0.1",1,"AE","02-DODG-0.1_20210701",2021-07-01,0.021,"U",NA,NA,"silver"
"52","total","ug/l","0201-0065","Analyte was analyzed for but not detected","02-DODG-0.3",1,"AE","02-DODG-0.3_20210701",2021-07-01,0.021,"U",NA,NA,"silver"
"53","","us/cm","0201-0065","N/A","02-DODG-0.1",NA,NA,"02-DODG-0.1_20210701",2021-07-01,115.8,"N/A",NA,NA,"specific conductance"
"54","","us/cm","0201-0065","N/A","02-DODG-0.3",NA,NA,"02-DODG-0.3_20210701",2021-07-01,132.2,"N/A",NA,NA,"specific conductance"
"55","","deg c","0201-0065","N/A","02-DODG-0.1",NA,NA,"02-DODG-0.1_20210701",2021-07-01,21.1,"N/A",NA,NA,"temperature"
"56","","deg c","0201-0065","N/A","02-DODG-0.3",NA,NA,"02-DODG-0.3_20210701",2021-07-01,21.2,"N/A",NA,NA,"temperature"
"57","total","ntu","0201-0065","low confidence in value due to Equipment Blank error","02-DODG-0.1",1,"AE","02-DODG-0.1_20210701",2021-07-01,28.6,"T",NA,NA,"turbidity"
"58","total","ug/l","0201-0065","Analyte was analyzed for but not detected","02-DODG-0.3",5,"AE","02-DODG-0.3_20210701",2021-07-01,1.25,"U",NA,NA,"zinc"
"59","total","ug/l","0201-0065","","02-DODG-0.1",5,"AE","02-DODG-0.1_20210701",2021-07-01,6,"A",NA,NA,"zinc"
