"","fraction","units","seg_id","interpreted_qualifiers","site_id","quantitation_limit","data_provider","sample_id","date","value","validator_qualifiers","depth","info_type","parameter"
"343","total","ug/l","1306-0061","","13-WCHEE-0.6",100,"AE","13-WCHEE-0.6_20171011",2017-10-11,487,"0",NA,NA,"aluminum"
"344","total","ug/l","1306-0047","","13-GUNK-37.7",10,"AE","13-GUNK-37.7_20180725",2018-07-25,125,"A",NA,NA,"aluminum"
"345","total","ug/l","1306-0045","","13-WALK-19.0",10,"AE","13-WALK-19.0_20170920",2017-09-20,53.4,"0",NA,NA,"aluminum"
"346","total","ug/l","1306-0078","","13-POCH-1.8",100,"AE","13-POCH-1.8_20180724",2018-07-24,296,"A",NA,NA,"aluminum"
"347","total","ug/l","1306-0038","","13-WALK-26.9",100,"AE","13-WALK-26.9_20180724",2018-07-24,301,"A",NA,NA,"aluminum"
"348","total","ug/l","1306-0061","","13-RIOG-0.7",500,"AE","13-RIOG-0.7_20180725",2018-07-25,3400,"A",NA,NA,"aluminum"
"349","total","ug/l","1306-0038","","13-WALK-22.8",50,"AE","13-WALK-22.8_20170907",2017-09-07,221,"0",NA,NA,"aluminum"
"350","total","ug/l","1306-0037","","13-WALK-0.7",10,"AE","13-WALK-0.7_20180710",2018-07-10,39.8,"A",NA,NA,"aluminum"
"351","total","ug/l","1306-0042","","13-WKLEI-0.6",100,"AE","13-WKLEI-0.6_20180814",2018-08-14,945,"A",NA,NA,"aluminum"
"352","total","ug/l","1306-0027","","13-WALK-2.1",100,"AE","13-WALK-2.1_20180724",2018-07-24,989,"A",NA,NA,"aluminum"
"353","total","ug/l","1306-0061","","13-WCHEE-0.6",50,"AE","13-WCHEE-0.6_20181004",2018-10-04,330,"A",NA,NA,"aluminum"
"354","total","ug/l","1306-0039","estimated value due to lab error","13-SWAK-1.7",10,"AE","13-SWAK-1.7_20191015",2019-10-15,5.8,"J",NA,NA,"aluminum"
"355","total","ug/l","1306-0078","","13-POCH-1.8",10,"AE","13-POCH-1.8_20180905",2018-09-05,175,"A",NA,NA,"aluminum"
"356","total","ug/l","1306-0017","","13-WALK-60.1",10,"AE","13-WALK-60.1_20191016",2019-10-16,180,"A",NA,NA,"aluminum"
"357","total","ug/l","1306-0017","","13-WALK-60.1",10,"AE","13-WALK-60.1_20190625",2019-06-25,449,"A",NA,NA,"aluminum"
"358","total","ug/l","1306-0047","","13-GUNK-37.7",10,"AE","13-GUNK-37.7_20180816",2018-08-16,97,"A",NA,NA,"aluminum"
"359","total","ug/l","1306-0061","","13-WCHEE-0.6",100,"AE","13-WCHEE-0.6_20180906",2018-09-06,556,"A",NA,NA,"aluminum"
"360","total","ug/l","1306-0038","","13-WALK-29.9",100,"AE","13-WALK-29.9_20170720",2017-07-20,293,"0",NA,NA,"aluminum"
"361","total","ug/l","1306-0062","","13-DWAR-2.0",100,"AE","13-DWAR-2.0_20180724",2018-07-24,1100,"A",NA,NA,"aluminum"
"362","total","ug/l","1306-0039","","13-SWAK-1.7",10,"AE","13-SWAK-1.7_20180710",2018-07-10,24.5,"A",NA,NA,"aluminum"
"363","total","ug/l","1306-0039","","13-SWAK-1.7",10,"AE","13-SWAK-1.7_20180724",2018-07-24,22.5,"A",NA,NA,"aluminum"
"364","total","ug/l","1306-0045","","13-GUNK-0.4",100,"AE","13-GUNK-0.4_20170907",2017-09-07,372,"0",NA,NA,"aluminum"
"365","total","ug/l","1306-0074","","13-MONH-4.1",10,"AE","13-MONH-4.1_20180711",2018-07-11,25.1,"A",NA,NA,"aluminum"
"366","total","ug/l","1306-0042","","13-WKLEI-0.6",100,"AE","13-WKLEI-0.6_20170720",2017-07-20,1820,"0",NA,NA,"aluminum"
"367","total","ug/l","1306-0074","","13-MONH-4.1",10,"AE","13-MONH-4.1_20181003",2018-10-03,157,"A",NA,NA,"aluminum"
"368","total","ug/l","1306-0074","","13-MONH-4.1",10,"AE","13-MONH-4.1_20170726",2017-07-26,31.9,"0",NA,NA,"aluminum"
"369","total","ug/l","1306-0027","","13-WALK-9.8",10,"AE","13-WALK-9.8_20191015",2019-10-15,77.7,"A",NA,NA,"aluminum"
"370","total","ug/l","1306-0027","","13-WALK-9.8",10,"AE","13-WALK-9.8_20190723",2019-07-23,123,"A",NA,NA,"aluminum"
"371","total","ug/l","1306-0017","","13-WALK-46.6",200,"AE","13-WALK-46.6_20180815",2018-08-15,1200,"A",NA,NA,"aluminum"
"372","total","ug/l","1306-0038","","13-WALK-22.8",100,"AE","13-WALK-22.8_20181002",2018-10-02,575,"A",NA,NA,"aluminum"
"373","total","ug/l","1306-0045","","13-GUNK-0.4",100,"AE","13-GUNK-0.4_20170720",2017-07-20,120,"0",NA,NA,"aluminum"
"374","total","ug/l","1306-0048","","13-GUNK-40.3",10,"AE","13-GUNK-40.3_20180816",2018-08-16,111,"A",NA,NA,"aluminum"
"375","total","ug/l","1306-0025","","13-QKER-0.9",100,"AE","13-QKER-0.9_20170719",2017-07-19,304,"0",NA,NA,"aluminum"
"376","total","ug/l","1306-0045","","13-GUNK-0.4",100,"AE","13-GUNK-0.4_20180906",2018-09-06,1040,"A",NA,NA,"aluminum"
"377","total","ug/l","1306-0074","","13-MONH-0.4",10,"AE","13-MONH-0.4_20171011",2017-10-11,112,"0",NA,NA,"aluminum"
"378","total","ug/l","1306-0038","","13-WALK-35.6",50,"AE","13-WALK-35.6_20180905",2018-09-05,270,"A",NA,NA,"aluminum"
"379","total","ug/l","1306-0074","","13-MONH-4.1",10,"AE","13-MONH-4.1_20180905",2018-09-05,54.4,"A",NA,NA,"aluminum"
"380","total","ug/l","1306-0074","","13-MONH-0.4",50,"AE","13-MONH-0.4_20170801",2017-08-01,231,"0",NA,NA,"aluminum"
"381","total","ug/l","1306-0044","","13-PKIL-0.4",10,"AE","13-PKIL-0.4_20190626",2019-06-26,135,"A",NA,NA,"aluminum"
"382","total","ug/l","1306-0038","","13-WALK-26.9",10,"AE","13-WALK-26.9_20171012",2017-10-12,111,"0",NA,NA,"aluminum"
"383","total","ug/l","1306-0074","","13-MONH-4.1",50,"AE","13-MONH-4.1_20180816",2018-08-16,463,"A",NA,NA,"aluminum"
"384","total","ug/l","1306-0027","","13-WALK-9.8",10,"AE","13-WALK-9.8_20180710",2018-07-10,107,"A",NA,NA,"aluminum"
"385","total","ug/l","1306-0027","","13-WALK-9.8",10,"AE","13-WALK-9.8_20190626",2019-06-26,212,"A",NA,NA,"aluminum"
"386","total","ug/l","1306-0038","","13-WALK-26.9",100,"AE","13-WALK-26.9_20170720",2017-07-20,237,"0",NA,NA,"aluminum"
"387","total","ug/l","1306-0061","","13-RIOG-0.7",100,"AE","13-RIOG-0.7_20180814",2018-08-14,657,"A",NA,NA,"aluminum"
"388","total","ug/l","1306-0078","","13-POCH-1.8",100,"AE","13-POCH-1.8_20181003",2018-10-03,464,"A",NA,NA,"aluminum"
"389","total","ug/l","1306-0017","","13-WALK-46.6",10,"AE","13-WALK-46.6_20170801",2017-08-01,158,"0",NA,NA,"aluminum"
"390","total","ug/l","1306-0045","","13-WALK-19.0",1000,"AE","13-WALK-19.0_20190723",2019-07-23,3310,"A",NA,NA,"aluminum"
"391","total","ug/l","1306-0047","","13-GUNK-37.7",10,"AE","13-GUNK-37.7_20180905",2018-09-05,122,"A",NA,NA,"aluminum"
"392","total","ug/l","1306-0078","","13-POCH-1.8",10,"AE","13-POCH-1.8_20190625",2019-06-25,321,"A",NA,NA,"aluminum"
"393","total","ug/l","1306-0038","","13-WALK-35.6",100,"AE","13-WALK-35.6_20180725",2018-07-25,1530,"A",NA,NA,"aluminum"
"394","total","ug/l","1306-0038","","13-WALK-35.6",100,"AE","13-WALK-35.6_20181003",2018-10-03,1050,"A",NA,NA,"aluminum"
"395","total","ug/l","1306-0017","","13-WALK-60.1",10,"AE","13-WALK-60.1_20190724",2019-07-24,572,"A",NA,NA,"aluminum"
"396","total","ug/l","1306-0038","","13-WALK-22.8",100,"AE","13-WALK-22.8_20170720",2017-07-20,185,"0",NA,NA,"aluminum"
"397","total","ug/l","1306-0038","","13-WALK-35.6",10,"AE","13-WALK-35.6_20170801",2017-08-01,164,"0",NA,NA,"aluminum"
"398","total","ug/l","1306-0037","","13-WALK-0.8",10,"AE","13-WALK-0.8_20180724",2018-07-24,72.4,"A",NA,NA,"aluminum"
"399","total","ug/l","1306-0037","","13-WALK-0.8",10,"AE","13-WALK-0.8_20180905",2018-09-05,64.6,"A",NA,NA,"aluminum"
"400","total","ug/l","1306-0062","","13-DWAR-2.0",50,"AE","13-DWAR-2.0_20180710",2018-07-10,308,"A",NA,NA,"aluminum"
"401","total","ug/l","1306-0061","","13-RIOG-0.7",50,"AE","13-RIOG-0.7_20180711",2018-07-11,216,"A",NA,NA,"aluminum"
"402","total","ug/l","1306-0038","","13-WALK-22.8",10,"AE","13-WALK-22.8_20180906",2018-09-06,91.2,"A",NA,NA,"aluminum"
"403","total","ug/l","1306-0074","","13-MONH-0.4",10,"AE","13-MONH-0.4_20170919",2017-09-19,19.5,"0",NA,NA,"aluminum"
"404","total","ug/l","1306-0045","","13-GUNK-0.4",100,"AE","13-GUNK-0.4_20180815",2018-08-15,499,"A",NA,NA,"aluminum"
"405","total","ug/l","1306-0039","","13-SWAK-1.7",10,"AE","13-SWAK-1.7_20180905",2018-09-05,11.7,"A",NA,NA,"aluminum"
"406","total","ug/l","1306-0017","","13-WALK-46.6",50,"AE","13-WALK-46.6_20180711",2018-07-11,320,"A",NA,NA,"aluminum"
"407","total","ug/l","1306-0068","","13-TINW-0.5",100,"AE","13-TINW-0.5_20180724",2018-07-24,513,"A",NA,NA,"aluminum"
"408","total","ug/l","1306-0017","","13-WALK-46.6",100,"AE","13-WALK-46.6_20170906",2017-09-06,317,"0",NA,NA,"aluminum"
"409","total","ug/l","1306-0038","","13-WALK-35.6",100,"AE","13-WALK-35.6_20170906",2017-09-06,279,"0",NA,NA,"aluminum"
"410","total","ug/l","1306-0038","","13-WALK-26.9",10,"AE","13-WALK-26.9_20180710",2018-07-10,105,"A",NA,NA,"aluminum"
"411","total","ug/l","1306-0061","","13-WCHEE-0.6",100,"AE","13-WCHEE-0.6_20180711",2018-07-11,681,"A",NA,NA,"aluminum"
"412","total","ug/l","1306-0061","","13-WCHEE-0.6",100,"AE","13-WCHEE-0.6_20180725",2018-07-25,1150,"A",NA,NA,"aluminum"
"413","total","ug/l","1306-0038","","13-WALK-35.6",500,"AE","13-WALK-35.6_20180816",2018-08-16,1010,"A",NA,NA,"aluminum"
"414","total","ug/l","1306-0025","","13-QKER-0.9",100,"AE","13-QKER-0.9_20180814",2018-08-14,681,"A",NA,NA,"aluminum"
"415","total","ug/l","1306-0038","","13-WALK-22.8",10,"AE","13-WALK-22.8_20180710",2018-07-10,125,"A",NA,NA,"aluminum"
"416","total","ug/l","1306-0025","","13-QKER-0.9",10,"AE","13-QKER-0.9_20180905",2018-09-05,138,"A",NA,NA,"aluminum"
"417","total","ug/l","1306-0017","","13-WALK-46.6",50,"AE","13-WALK-46.6_20170919",2017-09-19,260,"0",NA,NA,"aluminum"
"418","total","ug/l","1306-0059","","13-LGUN-6.0",10,"AE","13-LGUN-6.0_20181003",2018-10-03,49.2,"A",NA,NA,"aluminum"
"419","total","ug/l","1306-0038","","13-WALK-35.6",10,"AE","13-WALK-35.6_20180711",2018-07-11,90,"A",NA,NA,"aluminum"
"420","total","ug/l","1306-0017","","13-WALK-46.6",100,"AE","13-WALK-46.6_20171011",2017-10-11,280,"0",NA,NA,"aluminum"
"421","total","ug/l","1306-0039","","13-SWAK-1.7",10,"AE","13-SWAK-1.7_20181003",2018-10-03,43.1,"A",NA,NA,"aluminum"
"422","total","ug/l","1306-0038","","13-WALK-35.6",10,"AE","13-WALK-35.6_20170919",2017-09-19,155,"0",NA,NA,"aluminum"
"423","total","ug/l","1306-0045","","13-GUNK-0.4",10,"AE","13-GUNK-0.4_20181002",2018-10-02,130,"A",NA,NA,"aluminum"
"424","total","ug/l","1306-0017","","13-WALK-46.6",100,"AE","13-WALK-46.6_20170719",2017-07-19,333,"0",NA,NA,"aluminum"
"425","total","ug/l","1306-0038","","13-WALK-29.9",100,"AE","13-WALK-29.9_20170907",2017-09-07,281,"0",NA,NA,"aluminum"
"426","total","ug/l","1306-0038","","13-WALK-26.9",50,"AE","13-WALK-26.9_20181002",2018-10-02,216,"A",NA,NA,"aluminum"
"427","total","ug/l","1306-0017","","13-WALK-46.6",100,"AE","13-WALK-46.6_20180906",2018-09-06,259,"A",NA,NA,"aluminum"
"428","total","ug/l","1306-0047","","13-GUNK-37.7",50,"AE","13-GUNK-37.7_20181003",2018-10-03,363,"A",NA,NA,"aluminum"
"429","total","ug/l","1306-0039","","13-SWAK-1.7",10,"AE","13-SWAK-1.7_20190626",2019-06-26,26.5,"A",NA,NA,"aluminum"
"430","total","ug/l","1306-0059","","13-LGUN-6.0",50,"AE","13-LGUN-6.0_20180905",2018-09-05,252,"A",NA,NA,"aluminum"
"431","total","ug/l","1306-0025","","13-QKER-0.9",100,"AE","13-QKER-0.9_20170906",2017-09-06,404,"0",NA,NA,"aluminum"
"432","total","ug/l","1306-0017","","13-WALK-46.6",100,"AE","13-WALK-46.6_20181004",2018-10-04,828,"A",NA,NA,"aluminum"
"433","total","ug/l","1306-0061","","13-WCHEE-0.6",100,"AE","13-WCHEE-0.6_20170719",2017-07-19,765,"0",NA,NA,"aluminum"
"434","total","ug/l","1306-0017","","13-WALK-46.6",100,"AE","13-WALK-46.6_20180725",2018-07-25,1170,"A",NA,NA,"aluminum"
"435","total","ug/l","1306-0025","","13-QKER-0.9",100,"AE","13-QKER-0.9_20171011",2017-10-11,467,"0",NA,NA,"aluminum"
"436","total","ug/l","1306-0061","","13-RIOG-0.7",50,"AE","13-RIOG-0.7_20181004",2018-10-04,167,"A",NA,NA,"aluminum"
"437","total","ug/l","1306-0068","","13-TINW-0.5",10,"AE","13-TINW-0.5_20190724",2019-07-24,298,"A",NA,NA,"aluminum"
"438","total","ug/l","1306-0038","","13-WALK-26.9",10,"AE","13-WALK-26.9_20180906",2018-09-06,122,"A",NA,NA,"aluminum"
"439","total","ug/l","1306-0061","","13-WCHEE-0.6",200,"AE","13-WCHEE-0.6_20170801",2017-08-01,1070,"0",NA,NA,"aluminum"
"440","total","ug/l","1306-0068","","13-TINW-0.5",10,"AE","13-TINW-0.5_20190625",2019-06-25,685,"A",NA,NA,"aluminum"
"441","total","ug/l","1306-0038","","13-WALK-22.8",10,"AE","13-WALK-22.8_20171012",2017-10-12,30.3,"0",NA,NA,"aluminum"
"442","total","ug/l","1306-0059","","13-LGUN-6.0",100,"AE","13-LGUN-6.0_20180725",2018-07-25,368,"A",NA,NA,"aluminum"
"443","total","ug/l","1306-0068","","13-TINW-0.5",10,"AE","13-TINW-0.5_20191015",2019-10-15,27.2,"A",NA,NA,"aluminum"
"444","total","ug/l","1306-0038","","13-WALK-26.9",50,"AE","13-WALK-26.9_20180815",2018-08-15,393,"A",NA,NA,"aluminum"
"445","total","ug/l","1306-0068","","13-TINW-0.5",10,"AE","13-TINW-0.5_20180906",2018-09-06,95.3,"A",NA,NA,"aluminum"
"446","total","ug/l","1306-0068","","13-TINW-0.5",10,"AE","13-TINW-0.5_20180710",2018-07-10,150,"A",NA,NA,"aluminum"
"447","total","ug/l","1306-0038","","13-WALK-22.8",10,"AE","13-WALK-22.8_20170920",2017-09-20,43.8,"0",NA,NA,"aluminum"
"448","total","ug/l","1306-0059","","13-LGUN-6.0",10,"AE","13-LGUN-6.0_20180711",2018-07-11,98.1,"A",NA,NA,"aluminum"
"449","total","ug/l","1306-0062","","13-DWAR-2.0",10,"AE","13-DWAR-2.0_20191015",2019-10-15,152,"A",NA,NA,"aluminum"
"450","total","ug/l","1306-0038","","13-WALK-26.9",10,"AE","13-WALK-26.9_20170802",2017-08-02,184,"0",NA,NA,"aluminum"
"451","total","ug/l","1306-0038","","13-WALK-29.9",10,"AE","13-WALK-29.9_20180711",2018-07-11,95.1,"A",NA,NA,"aluminum"
"452","total","ug/l","1306-0038","","13-WALK-29.9",10,"AE","13-WALK-29.9_20170920",2017-09-20,156,"0",NA,NA,"aluminum"
"453","total","ug/l","1306-0038","","13-WALK-29.9",10,"AE","13-WALK-29.9_20171011",2017-10-11,179,"0",NA,NA,"aluminum"
"454","total","ug/l","1306-0025","","13-QKER-0.9",10,"AE","13-QKER-0.9_20170801",2017-08-01,147,"0",NA,NA,"aluminum"
"455","total","ug/l","1306-0025","","13-QKER-0.9",100,"AE","13-QKER-0.9_20180724",2018-07-24,387,"A",NA,NA,"aluminum"
"456","total","ug/l","1306-0038","","13-WALK-29.9",10,"AE","13-WALK-29.9_20170802",2017-08-02,164,"0",NA,NA,"aluminum"
"457","total","ug/l","1306-0068","","13-TINW-0.5",10,"AE","13-TINW-0.5_20181002",2018-10-02,130,"A",NA,NA,"aluminum"
"458","total","ug/l","1306-0074","","13-MONH-4.1",100,"AE","13-MONH-4.1_20180725",2018-07-25,327,"A",NA,NA,"aluminum"
"459","total","ug/l","1306-0038","","13-WALK-29.9",100,"AE","13-WALK-29.9_20180815",2018-08-15,1010,"A",NA,NA,"aluminum"
"460","total","ug/l","1306-0062","","13-DWAR-2.0",10,"AE","13-DWAR-2.0_20190724",2019-07-24,528,"A",NA,NA,"aluminum"
"461","total","ug/l","1306-0025","","13-QKER-0.9",50,"AE","13-QKER-0.9_20180711",2018-07-11,207,"A",NA,NA,"aluminum"
"462","total","ug/l","1306-0038","","13-WALK-26.9",10,"AE","13-WALK-26.9_20170920",2017-09-20,101,"0",NA,NA,"aluminum"
"463","total","ug/l","1306-0038","","13-WALK-29.9",100,"AE","13-WALK-29.9_20181002",2018-10-02,626,"A",NA,NA,"aluminum"
"464","total","ug/l","1306-0061","","13-RIOG-0.7",10,"AE","13-RIOG-0.7_20180906",2018-09-06,55.9,"A",NA,NA,"aluminum"
"465","total","ug/l","1306-0025","","13-QKER-0.9",100,"AE","13-QKER-0.9_20170919",2017-09-19,454,"0",NA,NA,"aluminum"
"466","total","ug/l","1306-0038","","13-WALK-29.9",100,"AE","13-WALK-29.9_20180724",2018-07-24,619,"A",NA,NA,"aluminum"
"467","total","ug/l","1306-0062","","13-DWAR-2.0",10,"AE","13-DWAR-2.0_20190626",2019-06-26,617,"A",NA,NA,"aluminum"
"468","total","ug/l","1306-0038","","13-WALK-22.8",1,"AE","13-WALK-22.8_20170802",2017-08-02,0.924,"0",NA,NA,"arsenic"
"469","total","ug/l","1306-0072","","13-MASO-0.2",1,"AE","13-MASO-0.2_20180906",2018-09-06,1.5,"A",NA,NA,"arsenic"
"470","total","ug/l","1306-0038","","13-WALK-22.8",1,"AE","13-WALK-22.8_20180815",2018-08-15,2.5,"A",NA,NA,"arsenic"
"471","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20180724",2018-07-24,1.5,"A",NA,NA,"arsenic"
"472","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20190724",2019-07-24,1.7,"A",NA,NA,"arsenic"
"473","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20180711",2018-07-11,2.1,"A",NA,NA,"arsenic"
"474","total","ug/l","1306-0044","","13-PKIL-0.4",1,"AE","13-PKIL-0.4_20190917",2019-09-17,1.1,"A",NA,NA,"arsenic"
"475","total","ug/l","1306-0038","","13-WALK-44.4",1,"AE","13-WALK-44.4_20180711",2018-07-11,1.9,"A",NA,NA,"arsenic"
"476","total","ug/l","1306-0038","","13-WALK-44.4",1,"AE","13-WALK-44.4_20190626",2019-06-26,1.7,"A",NA,NA,"arsenic"
"477","total","ug/l","1306-0017","","13-WALK-46.6",1,"AE","13-WALK-46.6_20171011",2017-10-11,0.587,"0",NA,NA,"arsenic"
"478","total","ug/l","1306-0038","","13-WALK-44.4",1,"AE","13-WALK-44.4_20190724",2019-07-24,2.8,"A",NA,NA,"arsenic"
"479","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20190625",2019-06-25,2,"A",NA,NA,"arsenic"
"480","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20190723",2019-07-23,2.6,"A",NA,NA,"arsenic"
"481","total","ug/l","1306-0017","","13-WALK-46.6",1,"AE","13-WALK-46.6_20180711",2018-07-11,2.1,"A",NA,NA,"arsenic"
"482","total","ug/l","1306-0037","","13-WALK-0.8",1,"AE","13-WALK-0.8_20180905",2018-09-05,1.6,"A",NA,NA,"arsenic"
"483","total","ug/l","1306-0072","","13-MASO-0.2",1,"AE","13-MASO-0.2_20180815",2018-08-15,2,"A",NA,NA,"arsenic"
"484","total","ug/l","1306-0044","","13-PKIL-0.4",1,"AE","13-PKIL-0.4_20190626",2019-06-26,1.2,"A",NA,NA,"arsenic"
"485","total","ug/l","1306-0038","","13-WALK-22.8",1,"AE","13-WALK-22.8_20181002",2018-10-02,1.3,"A",NA,NA,"arsenic"
"486","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20180724",2018-07-24,1.7,"A",NA,NA,"arsenic"
"487","total","ug/l","1306-0038","","13-WALK-44.4",1,"AE","13-WALK-44.4_20191015",2019-10-15,1.3,"A",NA,NA,"arsenic"
"488","total","ug/l","1306-0025","","13-QKER-0.9",1,"AE","13-QKER-0.9_20170919",2017-09-19,2.2,"0",NA,NA,"arsenic"
"489","total","ug/l","1306-0074","","13-MONH-0.4",1,"AE","13-MONH-0.4_20170801",2017-08-01,1.1,"0",NA,NA,"arsenic"
"490","total","ug/l","1306-0044","","13-PKIL-0.4",1,"AE","13-PKIL-0.4_20180710",2018-07-10,1.6,"A",NA,NA,"arsenic"
"491","total","ug/l","1306-0017","","13-WALK-46.6",1,"AE","13-WALK-46.6_20180815",2018-08-15,2.3,"A",NA,NA,"arsenic"
"492","total","ug/l","1306-0047","","13-GUNK_T35-0.2",1,"AE","13-GUNK_T35-0.2_20180711",2018-07-11,2.3,"A",NA,NA,"arsenic"
"493","total","ug/l","1306-0072","","13-MASO-0.2",1,"AE","13-MASO-0.2_20180725",2018-07-25,1.7,"A",NA,NA,"arsenic"
"494","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20171011",2017-10-11,0.856,"0",NA,NA,"arsenic"
"495","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20170919",2017-09-19,0.997,"0",NA,NA,"arsenic"
"496","total","ug/l","1306-0062","","13-DWAR-2.0",1,"AE","13-DWAR-2.0_20190626",2019-06-26,1.2,"A",NA,NA,"arsenic"
"497","total","ug/l","1306-0061","estimated value due to lab error","13-WCHEE-0.6",1,"AE","13-WCHEE-0.6_20181004",2018-10-04,0.91,"J",NA,NA,"arsenic"
"498","total","ug/l","1306-0027","","13-WALK-2.1",1,"AE","13-WALK-2.1_20170802",2017-08-02,1.1,"0",NA,NA,"arsenic"
"499","total","ug/l","1306-0048","","13-GUNK-40.3",1,"AE","13-GUNK-40.3_20180711",2018-07-11,1.1,"A",NA,NA,"arsenic"
"500","total","ug/l","1306-0078","","13-POCH-1.8",1,"AE","13-POCH-1.8_20180905",2018-09-05,1.3,"A",NA,NA,"arsenic"
"501","total","ug/l","1306-0037","","13-WALK-0.7",1,"AE","13-WALK-0.7_20180710",2018-07-10,2,"A",NA,NA,"arsenic"
"502","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20190815",2019-08-15,1.8,"A",NA,NA,"arsenic"
"503","total","ug/l","1306-0027","","13-WALK-2.1",1,"AE","13-WALK-2.1_20171012",2017-10-12,0.397,"0",NA,NA,"arsenic"
"504","total","ug/l","1306-0027","","13-WALK-2.1",1,"AE","13-WALK-2.1_20180710",2018-07-10,2.9,"A",NA,NA,"arsenic"
"505","total","ug/l","1306-0044","","13-PKIL-0.4",1,"AE","13-PKIL-0.4_20180906",2018-09-06,1.4,"A",NA,NA,"arsenic"
"506","total","ug/l","1306-0044","","13-PKIL-0.4",1,"AE","13-PKIL-0.4_20180815",2018-08-15,1.4,"A",NA,NA,"arsenic"
"507","total","ug/l","1306-0044","","13-PKIL-0.4",1,"AE","13-PKIL-0.4_20180724",2018-07-24,1.5,"A",NA,NA,"arsenic"
"508","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20191016",2019-10-16,1.2,"A",NA,NA,"arsenic"
"509","total","ug/l","1306-0044","","13-PKIL-0.4",1,"AE","13-PKIL-0.4_20190723",2019-07-23,1.7,"A",NA,NA,"arsenic"
"510","total","ug/l","1306-0039","estimated value due to lab error","13-SWAK-1.7",1,"AE","13-SWAK-1.7_20190626",2019-06-26,0.51,"J",NA,NA,"arsenic"
"511","total","ug/l","1306-0006","","13-RUTG-1.5",1,"AE","13-RUTG-1.5_20180905",2018-09-05,1,"A",NA,NA,"arsenic"
"512","total","ug/l","1306-0038","","13-WALK-29.9",1,"AE","13-WALK-29.9_20171011",2017-10-11,0.482,"0",NA,NA,"arsenic"
"513","total","ug/l","1306-0017","","13-WALK-46.6",1,"AE","13-WALK-46.6_20180725",2018-07-25,2,"A",NA,NA,"arsenic"
"514","total","ug/l","1306-0068","","13-TINW-0.5",1,"AE","13-TINW-0.5_20180815",2018-08-15,1.3,"A",NA,NA,"arsenic"
"515","total","ug/l","1306-0038","","13-WALK-22.8",1,"AE","13-WALK-22.8_20170720",2017-07-20,0.814,"0",NA,NA,"arsenic"
"516","total","ug/l","1306-0038","","13-WALK-22.8",1,"AE","13-WALK-22.8_20170907",2017-09-07,0.868,"0",NA,NA,"arsenic"
"517","total","ug/l","1306-0027","","13-WALK-2.1",1,"AE","13-WALK-2.1_20170920",2017-09-20,0.932,"0",NA,NA,"arsenic"
"518","total","ug/l","1306-0038","","13-WALK-44.4",1,"AE","13-WALK-44.4_20181004",2018-10-04,1.7,"A",NA,NA,"arsenic"
"519","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20181003",2018-10-03,1.3,"A",NA,NA,"arsenic"
"520","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20170907",2017-09-07,0.66,"0",NA,NA,"arsenic"
"521","total","ug/l","1306-0038","","13-WALK-22.8",1,"AE","13-WALK-22.8_20180724",2018-07-24,1.8,"A",NA,NA,"arsenic"
"522","total","ug/l","1306-0017","","13-WALK-60.1",1,"AE","13-WALK-60.1_20180905",2018-09-05,1.9,"A",NA,NA,"arsenic"
"523","total","ug/l","1306-0037","","13-WALK-0.8",1,"AE","13-WALK-0.8_20180724",2018-07-24,1.8,"A",NA,NA,"arsenic"
"524","total","ug/l","1306-0042","estimated value due to lab error","13-WKLEI-0.6",1,"AE","13-WKLEI-0.6_20181003",2018-10-03,0.53,"J",NA,NA,"arsenic"
"525","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20180710",2018-07-10,2.2,"A",NA,NA,"arsenic"
"526","total","ug/l","1306-0078","","13-POCH-1.8",1,"AE","13-POCH-1.8_20190815",2019-08-15,1.4,"A",NA,NA,"arsenic"
"527","total","ug/l","1306-0042","","13-WKLEI-0.6",1,"AE","13-WKLEI-0.6_20180710",2018-07-10,3.3,"A",NA,NA,"arsenic"
"528","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20190814",2019-08-14,1.7,"A",NA,NA,"arsenic"
"529","total","ug/l","1306-0045","","13-WALK-19.0",1,"AE","13-WALK-19.0_20180815",2018-08-15,2.6,"A",NA,NA,"arsenic"
"530","total","ug/l","1306-0048","estimated value due to lab error","13-GUNK-40.3",1,"AE","13-GUNK-40.3_20180816",2018-08-16,0.84,"J",NA,NA,"arsenic"
