"","parameter","fraction","units","class","class_type","trout_class","spatial_extent","sampling_period","sampling_period_units","type","use","water_type","standard_type","narrative","wqs_threshold","wqs_threshold_formula","wqs_threshold_x_column","wqs_threshold_y_column","statistic","min_n","block","direction","threshold","threshold_units","summarize_rows","summarize_rows_operator","wqs_75p_threshold_formula","wqs_75p_threshold"
"24","ammonia","total","ug/l","aa-special(ts)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","flow","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,49.3
"25","ammonia","total","ug/l","a","fresh","all","nys","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"26","ammonia","total","ug/l","a(t)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"27","ammonia","total","ug/l","a(ts)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"28","ammonia","total","ug/l","a","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"29","ammonia","total","ug/l","a(t)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"30","ammonia","total","ug/l","a(ts)","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"31","ammonia","total","ug/l","a-special","fresh","all","nys","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"32","ammonia","total","ug/l","a-special(t)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"33","ammonia","total","ug/l","a-special(ts)","fresh","all","nys","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
"34","ammonia","total","ug/l","a-special","fresh","all","great_lakes","january-december","months","health_water-supply","source of water supply","pond","water_quality_standard","NH3 + NH4+ as N; 2,000 ug/L","none",NA,"none","none","none",1,"single","<=",2000,"ug/l",FALSE,NA,NA,65
