order,group,SH_SITE_ID
4,Downstream of existing,13-BRCH-2.3
3,Upstream of existing,13-BRCH-2.7
5,Local reference,13-BRCH_T3-0.2
2,Downstream of proposed,13-BRCH_T4-0.9
1,Upsteam of proposed,13-BRCH_T4-1.4
